Wins,Name,Surface,Rank,Gender
13,Garcia C.,Clay,67.8462,Female
2,Garcia C.,Grass,46,Female
9,Garcia C.,Hard,55.3333,Female
1,Gajdosova J.,Grass,177,Female
5,Gajdosova J.,Hard,87.2,Female
8,Gabashvili T.,Clay,59.625,Male
1,Gabashvili T.,Grass,61,Male
9,Gabashvili T.,Hard,65.6667,Male
2,Friedsam A.L.,Clay,111.5,Female
5,Friedsam A.L.,Hard,99.8,Female
21,Fognini F.,Clay,15,Male
2,Fognini F.,Grass,15,Male
13,Fognini F.,Hard,17.0769,Male
1,Flipkens K.,Clay,22,Female
5,Flipkens K.,Grass,24.4,Female
17,Flipkens K.,Hard,30.3529,Female
1,Fichman S.,Clay,108,Female
2,Fichman S.,Hard,106.5,Female
2,Feuerstein C.,Clay,122,Female
27,Ferrer D.,Clay,5.2963,Male
1,Ferrer D.,Grass,7,Male
27,Ferrer D.,Hard,4.7778,Male
7,Federer R.,Clay,4,Male
10,Federer R.,Grass,4,Male
51,Federer R.,Hard,4.3529,Male
2,Falla A.,Clay,62.5,Male
4,Falla A.,Grass,69,Male
3,Falla A.,Hard,79,Male
1,Falconi I.,Clay,182,Female
1,Falconi I.,Hard,142,Female
1,Evans D.,Grass,139,Male
3,Evans D.,Hard,147,Male
3,Estrella Burgos V.,Clay,92,Male
1,Estrella Burgos V.,Grass,95,Male
4,Estrella Burgos V.,Hard,83.5,Male
19,Errani S.,Clay,11.4737,Female
16,Errani S.,Hard,9.9375,Female
4,Erakovic M.,Clay,65,Female
8,Erakovic M.,Hard,82.125,Female
3,Elias G.,Clay,169.3333,Male
2,Eguchi M.,Hard,183,Female
1,Ebden M.,Grass,86,Male
4,Ebden M.,Hard,74,Male
2,Dzumhur D.,Hard,188,Male
1,Duval V.,Clay,157,Female
2,Duval V.,Grass,120.5,Female
1,Dutra Silva R.,Clay,147,Male
2,Duque Marino M.,Clay,129,Female
5,Dulgheru A.,Hard,126.6,Female
1,Duckworth J.,Grass,167,Male
2,Duan Y.Y.,Hard,165,Female
3,Donskoy E.,Hard,117.6667,Male
6,Dominguez Lino L.,Clay,74.1667,Female
1,Dominguez Lino L.,Grass,132,Female
2,Dolonc V.,Hard,133,Female
12,Dolgopolov O.,Clay,39.0833,Male
4,Dolgopolov O.,Grass,19,Male
11,Dolgopolov O.,Hard,34.8182,Male
1,Doi M.,Grass,98,Female
4,Doi M.,Hard,92.25,Female
4,Dodig I.,Clay,38.5,Male
11,Dodig I.,Hard,56.7273,Male
14,Djokovic N.,Clay,2,Male
7,Djokovic N.,Grass,2,Male
44,Djokovic N.,Hard,1.4318,Male
2,Diyas Z.,Clay,96,Female
3,Diyas Z.,Grass,71,Female
15,Diyas Z.,Hard,68.2,Female
1,Dinu C.,Clay,228,Female
17,Dimitrov G.,Clay,16.8235,Male
10,Dimitrov G.,Grass,13,Male
23,Dimitrov G.,Hard,13.1739,Male
2,Diatchenko V.,Hard,140,Female
1,Devvarman S.,Clay,102,Male
2,Devvarman S.,Hard,109.5,Male
3,Dellacqua C.,Clay,49.6667,Female
5,Dellacqua C.,Grass,41.6,Female
19,Dellacqua C.,Hard,68,Female
2,Delic M.,Clay,211,Male
