Gender,Surface,Winner,Loser,WRank,LRank,WPts,LPts
Male,Clay,Fognini F.,Andujar P.,14,43,2260,981
Male,Clay,Ferrer D.,Ramos A.,5,92,5280,598
Male,Clay,Almagro N.,Chardy J.,18,45,1930,940
Male,Clay,Fognini F.,Robredo T.,14,17,2260,1960
Male,Clay,Ferrer D.,Almagro N.,5,18,5280,1930
Male,Clay,Ferrer D.,Fognini F.,5,14,5280,2260
Male,Hard,Vesely J.,Matosevic M.,81,55,655,856
Male,Hard,Russell M.,Przysiezny M.,98,76,561,685
Male,Hard,Smyczek T.,Kyrgios N.,102,171,549,303
Male,Hard,Karlovic I.,Ebden M.,80,62,667,746
Male,Hard,Kukushkin M.,Gabashvili T.,59,66,761,731
Male,Hard,Baghdatis M.,Ram R.,134,150,415,365
Male,Hard,Becker B.,Lacko L.,88,101,605,552
Male,Hard,Sock J.,Mannarino A.,85,71,617,714
Male,Hard,Kuznetsov Al.,Goffin D.,141,105,394,530
Male,Hard,Harrison R.,Phau B.,119,223,471,219
Male,Hard,Bogomolov A.,Querrey S.,96,56,579,845
Male,Hard,Kudla D.,Young D.,106,79,524,673
Male,Hard,Russell M.,Smyczek T.,98,102,561,549
Male,Hard,Sock J.,Vesely J.,85,81,617,655
Male,Hard,Bogomolov A.,Harrison R.,96,119,579,471
Male,Hard,Nishikori K.,Becker B.,16,88,1965,605
Male,Hard,Kuznetsov Al.,Kukushkin M.,141,59,394,761
Male,Hard,Lu Y.H.,Kudla D.,54,106,860,524
Male,Hard,Hewitt L.,Baghdatis M.,40,134,1020,415
Male,Hard,Karlovic I.,Lopez F.,80,26,667,1355
Male,Hard,Nishikori K.,Bogomolov A.,16,96,1965,579
Male,Hard,Russell M.,Hewitt L.,98,40,561,1020
Male,Hard,Lu Y.H.,Kuznetsov Al.,54,141,860,394
Male,Hard,Karlovic I.,Sock J.,80,85,667,617
Male,Hard,Nishikori K.,Russell M.,16,98,1965,561
Male,Hard,Karlovic I.,Lu Y.H.,80,54,667,860
Male,Hard,Nishikori K.,Karlovic I.,16,80,1965,667
Male,Hard,Mathieu P.H.,Dodig I.,135,33,412,1145
Male,Hard,Berrer M.,Huta Galung J.,147,91,380,601
Male,Hard,Berdych T.,Seppi A.,7,31,4540,1210
Male,Hard,Tsonga J.W.,Mayer F.,10,30,2885,1245
Male,Hard,Kohlschreiber P.,Stakhovsky S.,27,90,1330,601
Male,Hard,Gulbis E.,Istomin D.,24,41,1443,1010
Male,Hard,Cilic M.,Rosol L.,37,50,1085,906
Male,Hard,Sijsling I.,Youzhny M.,64,15,740,2100
Male,Hard,Dimitrov G.,Tursunov D.,19,28,1810,1314
Male,Hard,Janowicz J.,Benneteau J.,20,39,1705,1020
Male,Hard,Mahut N.,Brands D.,44,69,968,719
Male,Hard,Haas T.,Verdasco F.,12,32,2495,1190
Male,Hard,Thiem D.,Nieminen J.,113,36,492,1090
Male,Hard,Gasquet R.,De Bakker T.,9,140,2950,401
Male,Hard,Del Potro J.M.,Monfils G.,4,23,5370,1475
Male,Hard,Murray A.,Roger-Vasselin E.,6,35,4795,1108
Male,Hard,Cilic M.,Tsonga J.W.,37,10,1085,2885
Male,Hard,Gulbis E.,Dimitrov G.,24,19,1443,1810
Male,Hard,Janowicz J.,Haas T.,20,12,1705,2495
Male,Hard,Berdych T.,Mahut N.,7,44,4540,968
Male,Hard,Del Potro J.M.,Mathieu P.H.,4,135,5370,412
Male,Hard,Kohlschreiber P.,Gasquet R.,27,9,1330,2950
Male,Hard,Murray A.,Thiem D.,6,113,4795,492
Male,Hard,Sijsling I.,Berrer M.,64,147,740,380
Male,Hard,Berdych T.,Janowicz J.,7,20,4540,1705
Male,Hard,Gulbis E.,Del Potro J.M.,24,4,1443,5370
Male,Hard,Cilic M.,Murray A.,37,6,1085,4795
